"lid","reporter","indicator","unit"
15343,"Albania","(a) Population total","th persons, period average"
76972,"Belarus","(a) Population total","th persons, period average"
22184,"Bosnia and Herzegovina","(a) Population total","th persons, period average"
15800,"Bulgaria","(a) Population total","th persons, period average"
20000,"Croatia","(a) Population total","th persons, period average"
16681,"Czechia","(a) Population total","th persons, period average"
17600,"Estonia","(a) Population total","th persons, period average"
18582,"Hungary","(a) Population total","th persons, period average"
67232,"Kazakhstan","(a) Population total","th persons, period average"
77233,"Kosovo","(a) Population total","th persons, period average"
27311,"Latvia","(a) Population total","th persons, period average"
25199,"Lithuania","(a) Population total","th persons, period average"
76985,"Moldova","(a) Population total","th persons, period average"
18111,"Montenegro","(a) Population total","th persons, period average"
21592,"North Macedonia","(a) Population total","th persons, period average"
22669,"Poland","(a) Population total","th persons, period average"
23633,"Romania","(a) Population total","th persons, period average"
24521,"Russia","(a) Population total","th persons, period average"
19514,"Serbia","(a) Population total","th persons, period average"
26395,"Slovakia","(a) Population total","th persons, period average"
20676,"Slovenia","(a) Population total","th persons, period average"
72736,"Turkey","(a) Population total","th persons, period average"
25681,"Ukraine","(a) Population total","th persons, period average"
59279,"Albania","(a) Population total","th persons, end of period"
76971,"Belarus","(a) Population total","th persons, end of period"
120052,"Bosnia and Herzegovina","(a) Population total","th persons, end of period"
15799,"Bulgaria","(a) Population total","th persons, end of period"
72839,"Croatia","(a) Population total","th persons, end of period"
16680,"Czechia","(a) Population total","th persons, end of period"
17599,"Estonia","(a) Population total","th persons, end of period"
18581,"Hungary","(a) Population total","th persons, end of period"
67233,"Kazakhstan","(a) Population total","th persons, end of period"
86388,"Kosovo","(a) Population total","th persons, end of period"
27310,"Latvia","(a) Population total","th persons, end of period"
25198,"Lithuania","(a) Population total","th persons, end of period"
76984,"Moldova","(a) Population total","th persons, end of period"
58399,"Montenegro","(a) Population total","th persons, end of period"
21591,"North Macedonia","(a) Population total","th persons, end of period"
22668,"Poland","(a) Population total","th persons, end of period"
23632,"Romania","(a) Population total","th persons, end of period"
24520,"Russia","(a) Population total","th persons, end of period"
19513,"Serbia","(a) Population total","th persons, end of period"
27771,"Serbia and Montenegro","(a) Population total","th persons, end of period"
27772,"Serbia and Montenegro","(a) Population total","th persons, end of period"
26394,"Slovakia","(a) Population total","th persons, end of period"
20675,"Slovenia","(a) Population total","th persons, end of period"
72735,"Turkey","(a) Population total","th persons, end of period"
25680,"Ukraine","(a) Population total","th persons, end of period"
27773,"Serbia and Montenegro","(a) Population total","th persons, mid-year"
27774,"Serbia and Montenegro","(a) Population total","th persons, mid-year"
15345,"Albania","(a) Natural increase","per th population"
91653,"Belarus","(a) Natural increase","per th population"
22185,"Bosnia and Herzegovina","(a) Natural increase","per th population"
15802,"Bulgaria","(a) Natural increase","per th population"
20002,"Croatia","(a) Natural increase","per th population"
16683,"Czechia","(a) Natural increase","per th population"
17602,"Estonia","(a) Natural increase","per th population"
18584,"Hungary","(a) Natural increase","per th population"
67235,"Kazakhstan","(a) Natural increase","per th population"
88760,"Kosovo","(a) Natural increase","per th population"
27313,"Latvia","(a) Natural increase","per th population"
25201,"Lithuania","(a) Natural increase","per th population"
104294,"Moldova","(a) Natural increase","per th population"
18113,"Montenegro","(a) Natural increase","per th population"
21594,"North Macedonia","(a) Natural increase","per th population"
22671,"Poland","(a) Natural increase","per th population"
23635,"Romania","(a) Natural increase","per th population"
24523,"Russia","(a) Natural increase","per th population"
19516,"Serbia","(a) Natural increase","per th population"
27776,"Serbia and Montenegro","(a) Natural increase","per th population"
26397,"Slovakia","(a) Natural increase","per th population"
20678,"Slovenia","(a) Natural increase","per th population"
72737,"Turkey","(a) Natural increase","per th population"
25683,"Ukraine","(a) Natural increase","per th population"
15346,"Albania","(a) Infant mortality rate","per 1000 live births"
91654,"Belarus","(a) Infant mortality rate","per 1000 live births"
22186,"Bosnia and Herzegovina","(a) Infant mortality rate","per 1000 live births"
15803,"Bulgaria","(a) Infant mortality rate","per 1000 live births"
20003,"Croatia","(a) Infant mortality rate","per 1000 live births"
16684,"Czechia","(a) Infant mortality rate","per 1000 live births"
17603,"Estonia","(a) Infant mortality rate","per 1000 live births"
18585,"Hungary","(a) Infant mortality rate","per 1000 live births"
67236,"Kazakhstan","(a) Infant mortality rate","per 1000 live births"
88761,"Kosovo","(a) Infant mortality rate","per 1000 live births"
27314,"Latvia","(a) Infant mortality rate","per 1000 live births"
25202,"Lithuania","(a) Infant mortality rate","per 1000 live births"
104295,"Moldova","(a) Infant mortality rate","per 1000 live births"
18114,"Montenegro","(a) Infant mortality rate","per 1000 live births"
21595,"North Macedonia","(a) Infant mortality rate","per 1000 live births"
22672,"Poland","(a) Infant mortality rate","per 1000 live births"
23636,"Romania","(a) Infant mortality rate","per 1000 live births"
24524,"Russia","(a) Infant mortality rate","per 1000 live births"
19517,"Serbia","(a) Infant mortality rate","per 1000 live births"
27777,"Serbia and Montenegro","(a) Infant mortality rate","per 1000 live births"
26398,"Slovakia","(a) Infant mortality rate","per 1000 live births"
20679,"Slovenia","(a) Infant mortality rate","per 1000 live births"
72738,"Turkey","(a) Infant mortality rate","per 1000 live births"
25684,"Ukraine","(a) Infant mortality rate","per 1000 live births"
15347,"Albania","(a) Life expectancy, males","years"
