,variable,excel_eq,lid,reporter_x,reporter_y,indicator,unit
0,ca_gdp,,88741.0,MK,North Macedonia,(m) Current account,in % of GDP
1,cons_share,,90346.0,MK,North Macedonia,(m) Household final consumption expenditure,in % of GDP
2,cons_yoy,"SubScal(CPPY=100(L_mkg222r15_q>mdb),100)",90874.0,MK,North Macedonia,(m) Household final consumption expenditure,"NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
3,cpi,,91641.0,MK,North Macedonia,(m) Consumer prices,"index, monthly average, 2015 = 100"
4,cpi_yoy,,,,,,
5,dum_2022,,,,,,
6,dum_lfs,,,,,,
7,emp,,32655.0,MK,North Macedonia,"(m) Employment, LFS","th persons, period average"
8,emp_yoy,,,,,,
9,eu_gdp_yoy,,144396.0,EU27_2020,EU - 27 countries (from 2020),(m) Gross domestic product total,real growth rate to corresponding period of previous year in %
10,eu_hicp,,77811.0,EU,European Union evolutionary,(m) Consumer prices,"index, monthly average, 2015 = 100"
11,eu_hicp_yoy,"SubScal(L_eup1p1tscx>mdb,100)",77812.0,EU,European Union evolutionary,(m) Consumer prices,"index, corresponding period of previous year = 100"
12,eu_ir,,144399.0,EA,Euro area evolutionary,(m) Central bank policy rate,"% p.a., period average"
13,exp_gdp_share,,90500.0,MK,North Macedonia,(m) Exports of goods and services,in % of GDP
14,exp_gdp_yoy,"SubScal(CPPY=100(L_mkg228r15_q>mdb),100)",90984.0,MK,North Macedonia,(m) Exports of goods and services,"NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
15,exp_nom_yoy,"SubScal(CPPY=100(AddNull(L_mklago2e_q>mdb,L_mklase2e_q>mdb)),100)",87271.0,MK,North Macedonia,"(m) 1.A.a. Goods exports, fob, credit",EUR m
16,gdp_yoy,"SubScal(CPPY=100(L_mkg11tr15_q>mdb),100)",88656.0,MK,North Macedonia,(m) Gross domestic product total,"NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
17,gov_bal,,89224.0,MK,North Macedonia,(m) General gov. budget - balance,in % of GDP
18,gov_cons_share,,90390.0,MK,North Macedonia,(m) Government final consumption expenditure,in % of GDP
19,gov_cons_yoy,"SubScal(CPPY=100(L_mkg223r15_q>mdb),100)",90918.0,MK,North Macedonia,(m) Government final consumption expenditure,"NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
20,gov_exp_yoy,"SubScal(CPPY=100(L_mkbg21n>mdb),100)",838.0,MK,North Macedonia,(m) General gov. budget - expenditures,NCU m (incl. 'euro fixed' series)
21,gov_rev_yoy,"SubScal(CPPY=100(L_mkbg11n>mdb),100)",822.0,MK,North Macedonia,(m) General gov. budget - revenues,NCU m (incl. 'euro fixed' series)
22,imp_gdp_share,,90522.0,MK,North Macedonia,(m) Imports of goods and services,in % of GDP
23,imp_gdp_yoy,"SubScal(CPPY=100(L_mkg229r15_q>mdb),100)",91006.0,MK,North Macedonia,(m) Imports of goods and services,"NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
24,imp_nom_yoy,"SubScal(CPPY=100(AddNull(L_mklago3e_q>mdb,L_mklase3e_q>mdb)),100)",87308.0,MK,North Macedonia,"(m) 1.A.a. Goods imports, fob, debit",EUR m
25,ind_yoy,"SubScal(L_mka1211tscx>mdb,100)",56632.0,MK,North Macedonia,(m) Industrial output (BCD - NACE Rev. 2),"index real, corresponding period of previous year = 100"
26,inv_share,,90412.0,MK,North Macedonia,(m) Gross capital formation,in % of GDP
27,inv_yoy,"SubScal(CPPY=100(L_mkg224r15_q>mdb),100)",90940.0,MK,North Macedonia,(m) Gross capital formation,"NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
28,ir,,788.0,MK,North Macedonia,(m) Central bank policy rate,"% p.a., end of period"
29,lcpi,,,,,,
30,lemp,,,,,,
31,leu_hicp,,,,,,
32,loans_hh,"SubScal(L_mkfls14scx>mdb,100)",89620.0,MK,North Macedonia,(m) Loans households (S14),"index nominal, corresponding period of previous year = 100"
33,loil,,,,,,
34,lunemp,,,,,,
35,oil,,101874.0,US,United States,(m) ,
36,pub_debt,,140881.0,MK,North Macedonia,"(m) General government gross debt, total",in % of GDP
37,unemp,,32685.0,MK,North Macedonia,"(m) Unemployment, LFS","th persons, period average"
38,unemp_rate,,32702.0,MK,North Macedonia,"(m) Unemployment rate, LFS","in %, period average"
39,wages_yoy,"SubScal(L_mkw11_tccx>mdb,100)",320.0,MK,North Macedonia,(m) Average monthly gross wages total,"index nominal, corresponding period of previous year = 100"
