year,pub_debt,eu_ir,ir,loans_hh,oil,eu_gdp_yoy,wages_yoy,emp,unemp,unemp_rate,ind_yoy,eu_hicp,eu_hicp_yoy,gov_rev_yoy,gov_exp_yoy,exp_nom_yoy,imp_nom_yoy,gdp_yoy,ca_gdp,gov_bal,cons_share,gov_cons_share,inv_share,exp_gdp_share,imp_gdp_share,cons_yoy,gov_cons_yoy,inv_yoy,exp_gdp_yoy,imp_gdp_yoy,cpi
2010Q1,37.71869723973802,1.0,7.26,100.5724811,76.25,1.2048952,101.14521666666668,615.9,309.6,33.5,95.04081133333334,91.41666666666669,101.70922656666666,29521.0,33625.0,358.51,697.79,120015.3,-2.2046484,-4.1582359,79.8869657,20.0019859,17.2462427,34.0827412,51.2180369,89559.8,21052.6,22635.9,33804.3,48315.9,92.18
2010Q2,36.67470701058201,1.0,5.46,102.8059279,78.51,2.4921645,100.3370931,627.1,296.2,32.1,98.13770193333332,92.57,102.03562576666668,32322.0,34293.0,512.6,892.55,120533.1,-2.3903123,-1.8230284,76.9951571,18.0873833,24.2146456,39.7337879,59.0309739,93972.0,20758.0,25460.9,43002.2,62721.9,92.96
2010Q3,36.72197703990563,1.0,4.5,104.273659,76.82000000000001,2.3633687,100.8914529,648.8,300.5,31.7,94.56200716666666,92.58333333333331,102.11769363333332,36134.0,36644.0,541.87,907.35,128257.7,3.2717885,-0.4452107,73.3364178,17.4835992,23.3153358,43.9033631,58.0387159,93825.9,21357.7,26112.7,50692.2,64631.4,92.17
2010Q4,37.95375267826178,1.0,4.11,105.1017464,86.46666666666665,2.4405532,101.6654627,659.5,295.4,31.0,94.0091306,93.38333333333333,102.45363586666669,34172.0,38129.0,568.33,1015.65,126508.6,-6.7654752,-3.4132519,72.6691423,17.8208496,31.99253,40.6362433,63.1187651,92257.3,21927.6,34403.9,44135.3,66618.9,92.97
2011Q1,38.38182818541623,1.0,4.0,106.5505491,104.96,3.3166754,101.687353,649.6,294.6,31.2,111.1936533,94.07333333333334,102.9054271,31422.0,35148.0,537.7,1058.2,121019.9,-11.7642119,-3.5953799,76.7257534,20.0884853,28.0999296,46.9693051,71.8835699,83615.1,21430.2,34727.7,45596.6,65308.2,95.08666666666666
2011Q2,39.20907070249443,1.25,4.0,106.9759625,117.36,2.2073348,101.31105006666668,642.8,293.4,31.4,109.74856846666668,95.51666666666668,103.18322263333334,36042.0,40048.0,624.9,1037.6,127657.7,-5.46534,-3.4168992,77.0759838,18.3362788,20.726573,47.0410471,63.1798828,90692.5,21913.6,26199.1,49079.7,61533.3,96.44
2011Q3,37.488170250618126,1.5,4.0,107.410287,113.34,1.7695816,101.42879503333334,648.6,293.8,31.2,105.33693406666669,95.43333333333334,103.07799496666668,34444.0,36103.0,613.2,1100.6,127331.2,3.4873165,-1.3947341,72.8152108,17.088814,26.2981789,50.0568318,66.2590355,87071.7,20836.8,29847.3,54182.0,66115.2,95.11666666666667
2011Q4,37.38883194431773,1.0,4.0,108.0945383,109.39666666666666,0.4803977,100.60438913333331,639.3,298.0,31.8,102.8789767,96.41,103.24160776666668,35258.0,37350.0,620.7,1104.9,130895.8,2.2552155,-1.6821439,69.6262054,17.262962,32.3440419,44.5273634,63.7605727,88426.4,21929.3,37311.5,50473.6,68672.5,95.41666666666669
2012Q1,39.23712279926912,1.0,4.0,107.359631,118.49,0.0320758,100.83328173333332,643.6,297.3,31.6,93.8084499,96.80333333333331,102.90206346666666,31809.0,36328.0,506.6,992.0,119798.2,-6.5475262,-4.3458734,77.2023885,20.6533332,25.3510887,45.5054013,68.7120193,82325.5,21907.0,34593.6,44910.7,64428.4,96.31
2012Q2,38.36045429973442,1.0,3.73,106.7964568,108.41666666666669,-1.0368604,99.47461316666666,648.2,294.2,31.3,99.0298326,97.99333333333334,102.59293736666666,35143.0,38650.0,588.8,1063.9,128239.2,-3.7873095,-3.0373393,77.8598147,18.8438884,24.8097008,44.4154789,65.9287096,91982.6,22082.9,33467.9,49029.7,68981.9,97.37
