"lid","reporter","indicator","unit"
88614,"Albania","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
89039,"Belarus","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88618,"Bosnia and Herzegovina","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88622,"Bulgaria","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88626,"Croatia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88630,"Czechia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88634,"Estonia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88638,"Hungary","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88642,"Kazakhstan","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
89044,"Kosovo","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88646,"Latvia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88650,"Lithuania","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
140622,"Moldova","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88658,"Montenegro","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88654,"North Macedonia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88662,"Poland","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88666,"Romania","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88670,"Russia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88674,"Serbia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88678,"Slovakia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88682,"Slovenia","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88686,"Turkey","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88690,"Ukraine","(m) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
88615,"Albania","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
89040,"Belarus","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88619,"Bosnia and Herzegovina","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88623,"Bulgaria","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88627,"Croatia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88631,"Czechia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88635,"Estonia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88639,"Hungary","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88643,"Kazakhstan","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
89045,"Kosovo","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88647,"Latvia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88651,"Lithuania","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
140623,"Moldova","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88659,"Montenegro","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88655,"North Macedonia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88663,"Poland","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88667,"Romania","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88671,"Russia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88675,"Serbia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88679,"Slovakia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88683,"Slovenia","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88687,"Turkey","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88691,"Ukraine","(m) Gross domestic product total","NCU m, cumulated (incl. 'euro fixed' series)"
88616,"Albania","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
